No,Genre
1,Alternative
2,Art Punk
3,Alternative Rock
4,Britpunk
5,College Rock
6,Crossover Thrash
7,Crust Punk
8,Emotional Hardcore
9,Emo
10,Emocore
11,Experimental Rock
12,Folk Punk
13,Goth
14,Gothic Rock
15,Grunge
16,Hardcore Punk
17,Hard Rock
18,Indie Rock
19,Lo-fi
20,Musique Concrète
21,New Wave
22,Progressive Rock
23,Punk
24,Shoegaze
25,Steampunk
26,Anime
27,Poetry Rap
28,Blues
29,Acoustic Blues
30,African Blues
31,Blues Rock
32,Blues Shouter
33,British Blues
34,Canadian Blues
35,Chicago Blues
36,Classic Blues
37,Classic Female Blues
38,Contemporary Blues
39,Contemporary R&B
40,Country Blues
41,Dark Blues
42,Delta Blues
43,Detroit Blues
44,Doom Blues
45,Electric Blues
46,Folk Blues
47,Gospel Blues
48,Harmonica Blues
49,Hill Country Blues
50,Hokum Blues
51,Jazz Blues
52,Jump Blues
53,Kansas City Blues
54,Louisiana Blues
55,Memphis Blues
56,Modern Blues
57,New Orlean Blues
58,NY Blues
59,Piano Blues
60,Piedmont Blues
61,Punk Blues
62,Ragtime Blues
63,Rhythm Blues
64,Soul Blues
65,St. Louis Blues
66,Swamp Blues
67,Texas Blues
68,Urban Blues
69,Vandeville
70,West Coast Blues
71,Zydeco
72,Children's Music
73,Lullabies
74,Sing-Along
75,Classical
76,Avant-Garde
77,Ballet
78,Baroque
79,Cantata
80,Chamber Music
81,String Quartet
82,Chant
83,Choral
84,Classical Crossover
85,Concerto
86,Concerto Grosso
87,Contemporary Classical
88,Early Music
89,Expressionist
90,High Classical
91,Impressionist
92,Mass Requiem
93,Medieval
94,Minimalism
95,Modern Composition
96,Modern Classical
97,Opera
98,Oratorio
99,Orchestral
100,Organum
101,Renaissance
102,Romantic
103,Sonata
104,Symphonic
105,Symphony
106,Wedding Music
107,Comedy
108,Novelty
109,Parody Music
110,Stand-up Comedy
111,Vaudeville
112,Commercial
113,Jingles
114,TV Themes
115,Country
116,Alternative Country
117,Americana
118,Australian Country
119,Bakersfield Sound
120,Bluegrass
121,Progressive Bluegrass
122,Reactionary Bluegrass
123,Blues Country
124,Cajun Fiddle Tunes
125,Christian Country
126,Classic Country
127,Close Harmony
128,Contemporary Bluegrass
129,Contemporary Country
130,Country Gospel
131,Country Pop
132,Country Rap
133,Country Rock
134,Country Soul
135,Cowboy / Western
136,Cowpunk
137,Dansband
138,Honky Tonk
139,Franco-Country
140,Gulf and Western
141,Hellbilly Music
142,Instrumental Country
143,Lubbock Sound
144,Nashville Sound
145,Neotraditional Country
146,Outlaw Country
147,Progressive
148,Psychobilly / Punkabilly
149,Red Dirt
150,Sertanejo
151,Texas County
152,Traditional Bluegrass
153,Traditional Country
154,Truck-Driving Country
155,Urban Cowboy
156,Western Swing
157,Dance
158,Club / Club Dance
159,Breakcore
160,Breakbeat / Breakstep
161,4-Beat
162,Acid Breaks
163,Baltimore Club
164,Big Beat
165,Breakbeat Hardcore
166,Broken Beat
167,Florida Breaks
168,Nu Skool Breaks
169,Brostep
170,Chillstep
171,Deep House
172,Dubstep
173,Electro House
174,Electroswing
175,Exercise
176,Future Garage
177,Garage
178,Glitch Hop
179,Glitch Pop
180,Grime
181,Hardcore
182,Bouncy House
183,Bouncy Techno
184,Digital Hardcore
185,Doomcore
186,Dubstyle
187,Gabber
188,Happy Hardcore
189,Hardstyle
190,Jumpstyle
191,Makina
192,Speedcore
193,Terrorcore
194,Uk Hardcore
195,Hard Dance
196,Hi-NRG / Eurodance
197,Horrorcore
198,House
199,Acid House
200,Chicago House
201,Diva House
202,Dutch House
203,Freestyle House
204,French House
205,Funky House
206,Ghetto House
207,Hardbag
208,Hip House
209,Italo House
210,Latin House
211,Minimal House
212,Progressive House
213,Rave Music
214,Swing House
215,Tech HouseTribal House
216,UK Hard House
217,US Garage
218,Vocal House
219,Jackin House
220,Jungle / Drum’n’bass
221,Liquid Dub
222,Regstep
223,Techno
224,Acid Techno
225,Detroit Techno
226,Free Tekno
227,Ghettotech
228,Minimal
229,Nortec
230,Schranz
231,Techno-Dnb
232,Technopop
233,Tecno Brega
234,Toytown Techno
235,Trance
236,Acid Trance
237,Classic Trance
238,Dream Trance
239,Goa Trance
240,Dark Psytrance
241,Full on
242,Psybreaks
243,Psyprog
244,Suomisaundi
245,Hard Trance
246,Tech Trance
247,Uplifting Trance
248,Orchestral Uplifting
249,Vocal Trance
250,Trap
251,Disney
252,Easy Listening
253,Background
254,Bop
255,Elevator
256,Furniture
257,Lounge
258,Middle of the Road
259,Swing
260,Electronic
261,2-Step
262,8bit / 8-bit / Bitpop / Chiptune
263,Ambient
