No,Genre,Small caps
1,Alternative,alternative
2,Art Punk,art punk
3,Alternative Rock,alternative rock
4,Britpunk,britpunk
5,College Rock,college rock
6,Crossover Thrash,crossover thrash
7,Crust Punk,crust punk
8,Emotional Hardcore,emotional hardcore
9,Emo,emo
10,Emocore,emocore
11,Experimental Rock,experimental rock
12,Folk Punk,folk punk
13,Goth,goth
14,Gothic Rock,gothic rock
15,Grunge,grunge
16,Hardcore Punk,hardcore punk
17,Hard Rock,hard rock
18,Indie Rock,indie rock
19,Lo-fi,lo-fi
20,Musique Concrète,musique concrète
21,New Wave,new wave
22,Progressive Rock,progressive rock
23,Punk,punk
24,Shoegaze,shoegaze
25,Steampunk,steampunk
26,Anime,anime
27,Poetry Rap,poetry rap
28,Blues,blues
29,Acoustic Blues,acoustic blues
30,African Blues,african blues
31,Blues Rock,blues rock
32,Blues Shouter,blues shouter
33,British Blues,british blues
34,Canadian Blues,canadian blues
35,Chicago Blues,chicago blues
36,Classic Blues,classic blues
37,Classic Female Blues,classic female blues
38,Contemporary Blues,contemporary blues
39,Contemporary R&B,contemporary r&b
40,Country Blues,country blues
41,Dark Blues,dark blues
42,Delta Blues,delta blues
43,Detroit Blues,detroit blues
44,Doom Blues,doom blues
45,Electric Blues,electric blues
46,Folk Blues,folk blues
47,Gospel Blues,gospel blues
48,Harmonica Blues,harmonica blues
49,Hill Country Blues,hill country blues
50,Hokum Blues,hokum blues
51,Jazz Blues,jazz blues
52,Jump Blues,jump blues
53,Kansas City Blues,kansas city blues
54,Louisiana Blues,louisiana blues
55,Memphis Blues,memphis blues
56,Modern Blues,modern blues
57,New Orlean Blues,new orlean blues
58,NY Blues,ny blues
59,Piano Blues,piano blues
60,Piedmont Blues,piedmont blues
61,Punk Blues,punk blues
62,Ragtime Blues,ragtime blues
63,Rhythm Blues,rhythm blues
64,Soul Blues,soul blues
65,St. Louis Blues,st. louis blues
66,Swamp Blues,swamp blues
67,Texas Blues,texas blues
68,Urban Blues,urban blues
69,Vandeville,vandeville
70,West Coast Blues,west coast blues
71,Zydeco,zydeco
72,Children's Music,children's music
73,Lullabies,lullabies
74,Sing-Along,sing-along
75,Classical,classical
76,Avant-Garde,avant-garde
77,Ballet,ballet
78,Baroque,baroque
79,Cantata,cantata
80,Chamber Music,chamber music
81,String Quartet,string quartet
82,Chant,chant
83,Choral,choral
84,Classical Crossover,classical crossover
85,Concerto,concerto
86,Concerto Grosso,concerto grosso
87,Contemporary Classical,contemporary classical
88,Early Music,early music
89,Expressionist,expressionist
90,High Classical,high classical
91,Impressionist,impressionist
92,Mass Requiem,mass requiem
93,Medieval,medieval
94,Minimalism,minimalism
95,Modern Composition,modern composition
96,Modern Classical,modern classical
97,Opera,opera
98,Oratorio,oratorio
99,Orchestral,orchestral
100,Organum,organum
101,Renaissance,renaissance
102,Romantic,romantic
103,Sonata,sonata
104,Symphonic,symphonic
105,Symphony,symphony
106,Wedding Music,wedding music
107,Comedy,comedy
108,Novelty,novelty
109,Parody Music,parody music
110,Stand-up Comedy,stand-up comedy
111,Vaudeville,vaudeville
112,Commercial,commercial
113,Jingles,jingles
114,TV Themes,tv themes
115,Country,country
116,Alternative Country,alternative country
117,Americana,americana
118,Australian Country,australian country
119,Bakersfield Sound,bakersfield sound
120,Bluegrass,bluegrass
121,Progressive Bluegrass,progressive bluegrass
122,Reactionary Bluegrass,reactionary bluegrass
123,Blues Country,blues country
124,Cajun Fiddle Tunes,cajun fiddle tunes
125,Christian Country,christian country
126,Classic Country,classic country
127,Close Harmony,close harmony
128,Contemporary Bluegrass,contemporary bluegrass
129,Contemporary Country,contemporary country
130,Country Gospel,country gospel
131,Country Pop,country pop
132,Country Rap,country rap
133,Country Rock,country rock
134,Country Soul,country soul
135,Cowboy / Western,cowboy / western
136,Cowpunk,cowpunk
137,Dansband,dansband
138,Honky Tonk,honky tonk
139,Franco-Country,franco-country
140,Gulf and Western,gulf and western
141,Hellbilly Music,hellbilly music
142,Instrumental Country,instrumental country
143,Lubbock Sound,lubbock sound
144,Nashville Sound,nashville sound
145,Neotraditional Country,neotraditional country
146,Outlaw Country,outlaw country
147,Progressive,progressive
148,Psychobilly / Punkabilly,psychobilly / punkabilly
149,Red Dirt,red dirt
150,Sertanejo,sertanejo
151,Texas County,texas county
152,Traditional Bluegrass,traditional bluegrass
153,Traditional Country,traditional country
154,Truck-Driving Country,truck-driving country
155,Urban Cowboy,urban cowboy
156,Western Swing,western swing
157,Dance,dance
158,Club / Club Dance,club / club dance
159,Breakcore,breakcore
160,Breakbeat / Breakstep,breakbeat / breakstep
161,4-Beat,4-beat
162,Acid Breaks,acid breaks
163,Baltimore Club,baltimore club
164,Big Beat,big beat
165,Breakbeat Hardcore,breakbeat hardcore
166,Broken Beat,broken beat
167,Florida Breaks,florida breaks
168,Nu Skool Breaks,nu skool breaks
169,Brostep,brostep
170,Chillstep,chillstep
171,Deep House,deep house
172,Dubstep,dubstep
173,Electro House,electro house
